screen_name,text,date,neg,neu,pos,compound
BLKLIVESMATTER,"Today we recognize Dr. Huey Newton, who co-founded the Black Panther Party in 1966, alongside Bobby Seale. While incarcerated, Dr. Newton developed much of BPP’s ideological platform and was one of the primary creators of BPP’s community programs.
#BlackHistoryMatters",2021-02-17 19:27:17,0.0,0.934,0.066,0.4019
BLKLIVESMATTER,"Congressman Bowman, we are so sorry for your loss. We send you our strength and energies.

You are a beacon of all of your mother’s joys, excellence, and sheer strength. We stand with you. https://t.co/ShSbQCs9Nv",2021-02-16 21:31:58,0.085,0.588,0.327,0.9111
BLKLIVESMATTER,"#BlackHistoryMatters
Hank Aaron, Home Run King⚾
While he was a King on the baseball field, he was also active in the work for Black liberation alongside the NAACP. The epitome of excellence on the field and in his activist work.",2021-02-16 20:56:31,0.0,0.852,0.148,0.7783
BLKLIVESMATTER,"RT @RichieReseda: My love letter to my incarcerated best friend jj’88 . Part of @Blklivesmatter black love letters campaign.
 https://t.co/…",2021-02-15 19:09:49,0.0,0.503,0.497,0.9501
BLKLIVESMATTER,"Today we want to show our love to Black people. Everything we do is built from love. Love does not require glitz, glamour, or fancy gestures. Just show up. Show us how you love on Black people, your friends, your fam, yourself, using #BlackLoveMatters.

Thank you @adrianmichaelgr https://t.co/ROlNCJgnGt",2021-02-14 18:02:00,0.042,0.602,0.357,0.9679
BLKLIVESMATTER,"Acquitting Donald Trump ignores just how dangerous he was and continues to be. So long as there is no accountability, the white supremacy he and others like Senators Ted Cruz and Josh Hawley uplift will remain a threat to our democracy. #EndWhiteSupremacy",2021-02-13 20:57:56,0.208,0.676,0.116,-0.7003
BLKLIVESMATTER,"Today we feature Fannie Lou Hamer, freedom fighter and SNCC organizer in the Civil Rights era. Having survived voter suppression, police violence, and forced sterilization, we look to Fannie Lou Hamer as an example of strength and reminder of our why.

#BlackHistoryMatters",2021-02-13 17:19:00,0.128,0.65,0.222,0.6369
BLKLIVESMATTER,https://t.co/lZjwoSiWbt this gorgeous article by @ashabandele,2021-02-13 15:47:21,0.0,0.556,0.444,0.6124
BLKLIVESMATTER,RT @owasow: New study finds ”places with Black Lives Matter protests experience a 15% to 20% decrease in police homicides over the ensuing…,2021-02-13 15:44:47,0.079,0.875,0.046,-0.2023
BLKLIVESMATTER,"On this day, 112 years ago, the @NAACP was founded. That’s 112 years of movement-building, paving paths, and inspiring generations. @derricknaacp, congratulations on ushering the organization into its 112th year and a new period of Black activism. https://t.co/zQBim1GOOL",2021-02-12 21:58:09,0.0,0.843,0.157,0.7717
BLKLIVESMATTER,"Ella Baker was a pivotal figure in the civil rights movement. She played a key role in the founding of SNCC and the MI Freedom Democratic Party, and served in the NAACP. She was community driven. 

Never forget the women of our movements ✊🏿
#BlackHistoryMatters",2021-02-12 21:02:55,0.0,0.804,0.196,0.874
